country,all,medicines,supplies,equipment,protective,year,type,order,Name-Original,Reporter,Code,Name,ISO-3A,iso3c,iso2c,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude
World,0.048,0.021,0.062,0.034,0.115,2019,tariff_applied,,,,,World,,,,,,,,,,,
World,995847311200.545,547106588441.1141,171497690506.744,139074446064.633,138168586188.05402,2019,export,,,,,World,,,,,,,,,,,
World,0.262,0.212,0.304,0.237,0.28800000000000003,2019,tariff_bound,,world,000,000,World,,,,,,,,,,,
World,0.787,0.787,0.775,0.815,0.7509999999999999,2019,tariff_bcoverage,,world,000,000,World,,,,,,,,,,,
Albania,0.006,0.0,0.01,0.0,0.033,2019,tariff_applied,,,,,Albania,ALB,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,8.484848484848486e-05,0.0,3.7735849056603776e-05,0.0,0.0003636363636363636,2019,tariff_rta,,,,,Albania,ALB,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,11794285.902,3274643.4283000003,1648413.4320999999,1365779.6303,5505449.4113,2019,export,,,,,Albania,ALB,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,0.016,0.0,0.024,0.001,0.061,2019,tariff_bound,2.0,Albania,008,008,Albania,ALB,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,1.0,1.0,1.0,1.0,1.0,2019,tariff_bcoverage,2.0,Albania,008,008,Albania,ALB,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317
Angola,0.018000000000000002,0.0,0.012,0.004,0.14400000000000002,2019,tariff_applied,,,,,Angola,AGO,AGO,AO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155
Angola,0.599,0.6,0.597,0.6,0.6,2019,tariff_bound,4.0,Angola,024,024,Angola,AGO,AGO,AO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155
Angola,1.0,1.0,1.0,1.0,1.0,2019,tariff_bcoverage,4.0,Angola,024,024,Angola,AGO,AGO,AO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155
Antigua and Barbuda,0.07,0.048,0.052000000000000005,0.086,0.145,2019,tariff_applied,,,,,Antigua and Barbuda,ATG,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175
Antigua and Barbuda,0.03713235294117647,0.011521739130434782,0.027837837837837838,0.008076923076923077,0.12148148148148148,2019,tariff_rta,,,,,Antigua and Barbuda,ATG,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175
Antigua and Barbuda,0.522,0.5,0.532,0.5,0.596,2019,tariff_bound,5.0,Antigua and Barbuda,028,028,Antigua and Barbuda,ATG,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175
Antigua and Barbuda,1.0,1.0,1.0,1.0,1.0,2019,tariff_bcoverage,5.0,Antigua and Barbuda,028,028,Antigua and Barbuda,ATG,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175
Argentina,0.099,0.077,0.114,0.084,0.165,2019,tariff_applied,,,,,Argentina,ARG,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118
Argentina,0.08028748836185738,0.0755748917748918,0.09192948717948718,0.0721379188712522,0.09529004329004331,2019,tariff_rta,,,,,Argentina,ARG,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118
Argentina,854838402.54,545591773.3,174971749.82999998,19432930.23,114841949.18,2019,export,,,,,Argentina,ARG,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118
Argentina,0.308,0.348,0.29600000000000004,0.308,0.272,2019,tariff_bound,6.0,Argentina,032,032,Argentina,ARG,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118
Argentina,1.0,1.0,1.0,1.0,1.0,2019,tariff_bcoverage,6.0,Argentina,032,032,Argentina,ARG,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118
Armenia,0.032,0.003,0.069,0.016,0.027999999999999997,2019,tariff_applied,,,,,Armenia,ARM,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596
Armenia,0.0019373641304347828,0.0,0.0065441176470588235,0.0,0.0005410714285714285,2019,tariff_rta,,,,,Armenia,ARM,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596
Armenia,35839470.0,11541425.0,11968976.0,10992080.0,1336989.0,2019,export,,,,,Armenia,ARM,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596
Armenia,0.034,0.0,0.042,0.04,0.053,2019,tariff_bound,7.0,Armenia,051,051,Armenia,ARM,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596
Armenia,1.0,1.0,1.0,1.0,1.0,2019,tariff_bcoverage,7.0,Armenia,051,051,Armenia,ARM,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596
Australia,0.015,0.003,0.027000000000000003,0.004,0.039,2019,tariff_applied,,,,,Australia,AUS,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282
Australia,0.0,0.0,0.0,0.0,0.0,2019,tariff_rta,,,,,Australia,AUS,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282
Australia,5533265981.033299,2118598704.9374998,1877987983.2499,1184223504.7501,352455788.09580004,2019,export,,,,,Australia,AUS,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282
Australia,0.046,0.0,0.085,0.006,0.111,2019,tariff_bound,8.0,Australia,036,036,Australia,AUS,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282
Australia,0.998,1.0,1.0,1.0,0.982,2019,tariff_bcoverage,8.0,Australia,036,036,Australia,AUS,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282
"Bahrain, Kingdom of",0.027999999999999997,0.0,0.031,0.047,0.053,2019,tariff_applied,,,,,"Bahrain, Kingdom of",BHR,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921
"Bahrain, Kingdom of",0.0,0.0,0.0,0.0,0.0,2019,tariff_rta,,,,,"Bahrain, Kingdom of",BHR,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921
"Bahrain, Kingdom of",61509804.885807,9374.999999,2442221.782975,2802812.614219,56255395.488614,2019,export,,,,,"Bahrain, Kingdom of",BHR,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921
"Bahrain, Kingdom of",0.33399999999999996,,0.321,0.336,0.35,2019,tariff_bound,10.0,"Bahrain, Kingdom of",048,048,"Bahrain, Kingdom of",BHR,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921
